,姓名,性别,职称,医院,一级科室,二级科室,简介
0,严森祥,男,主任医师,浙江大学医学院附属第一医院,内科,放疗科,"放射治疗,基础,临床,肿瘤,研究"
1,叶香华,女,副主任医师,浙江大学医学院附属第一医院,内科,放疗科,"食道癌,胸部,肿瘤,肺癌,乳腺癌,腺瘤,放化疗"
2,乔崇年,男,主任医师,浙江大学医学院附属第一医院,内科,风湿免疫科,"免疫病,治疗,诊治,提高,风湿,效果"
3,林进,女,主任医师,浙江大学医学院附属第一医院,内科,风湿免疫科,"系统性,多发性,规范化,强直性,免疫性,肌炎,诊断,关节炎"
4,曹恒,女,副主任医师,浙江大学医学院附属第一医院,内科,风湿免疫科,"类风湿,痛风,关节炎,红斑狼疮,强直性,系统性,脊柱炎,擅长"
5,王悦虹,女,主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"肺,治疗,规范化,哮喘,支气管,肺炎,copd,间质性"
6,沈兰珍,女,主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"内科,基础,疾病,临床,呼吸,研究"
7,沈茜,女,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"相关,肺部,感染,疾病,呼吸系统,肿瘤"
8,高萍,女,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"肺气肿,积液,肺心病,胸腔,支气管,肺炎,哮喘,支气管炎"
9,李和权,男,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"治疗,内科,呼吸,擅长,常见疾病"
10,许攀峰,男,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"诊治,诊断,熟练掌握,操作,支气管镜,纤维,鉴别,呼吸"
11,王雪芬,女,主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"copd,诊断,肺癌,疑难病,肺结核,疾病,呼吸系统,哮喘"
12,王杰,男,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"诊断,操作,感染性,支气管镜,疾病,纤维,熟练掌握,技术"
13,沈毅弘,男,主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"疾病,肺部,诊断,弥漫性,真菌病,肺,呼吸系统,肺癌"
14,罗秋平,男,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"系,基础,疾病,临床,呼吸,研究"
15,周建英,女,主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"专业,疾病,诊断,抢救,危重病,呼吸系统,正确率,疑难"
16,徐旋里,女,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"诊断,穿刺,检查,ct,鉴别,肺癌,早期,肺"
